city,listing_count,mean_price,mean_price_per_person,avg_guest_satisfaction,avg_cleanliness,avg_guest_capacity,avg_distance_to_center_km,avg_distance_to_metro_km,avg_attraction_index,avg_restaurant_index,avg_value_score,pct_listings_with_superhost,share_entire_home,share_private_room,share_shared_room
Amsterdam,2078,566.01,204.71,94.51,9.47,2.78,2.82,1.09,14.254,26.11,0.906,0.284,0.541,0.454,0.005
Athens,5279,148.26,42.88,95.0,9.64,3.7,1.8,0.48,5.741,9.952,0.956,0.428,0.923,0.075,0.002
Barcelona,2828,282.3,106.35,91.11,9.29,2.62,2.11,0.44,16.648,19.394,0.917,0.182,0.19,0.806,0.004
Berlin,2482,240.06,91.63,94.32,9.46,2.77,5.26,0.84,16.769,30.626,0.941,0.257,0.355,0.616,0.029
Budapest,4022,176.51,53.58,94.59,9.48,3.54,1.87,0.54,12.675,34.529,0.95,0.379,0.892,0.104,0.003
Lisbon,5763,238.21,75.27,91.09,9.37,3.34,1.97,0.71,7.325,28.274,0.921,0.214,0.673,0.314,0.013
London,9981,350.25,122.52,90.64,9.18,2.85,5.33,1.01,20.511,11.222,0.906,0.157,0.439,0.556,0.005
Paris,6687,390.13,136.29,92.04,9.26,2.95,3.0,0.23,18.205,42.591,0.91,0.141,0.758,0.228,0.014
Rome,9027,205.39,65.35,93.12,9.51,3.36,3.03,0.82,10.427,25.078,0.938,0.327,0.616,0.383,0.001
Vienna,3534,230.39,74.1,93.74,9.47,3.35,3.14,0.53,8.762,4.239,0.939,0.284,0.777,0.218,0.005
